Id,Name,Age,Grade,LetterGrade
S1075,Leona Helmsley,36,50.62760505,H
S1076,Benazir Bhutto,19,68.9721727,H
S1077,Donna Hanover,26,99.42837281,H
S1078,Sebastian Telfair,18,81.46985977,H
S1079,George Herman Ruth,18,98.64284193,H
S1080,Mohamed Atta,31,82.84976324,H
S1081,Eckhard Pfeiffer,25,60.77854686,H
S1082,Rafael Nadal,18,98.46416363,H
S1083,Frank Keating,22,97.20647137,H
S1084,Lee H Hamilton,18,56.70506975,H
S1085,Jonathan Franzen,22,90.53520376,H
S1086,Tom Waits,20,80.62786023,H
S1087,Leonardo da Vinci,33,74.20691575,H
S1088,Robert B Zoellick,32,76.33256835,H
S1089,Jill Abramson,24,94.392523,H
S1090,Tonya Harding,23,61.19549839,H
S1091,Virgo Lee Kuan Yew,30,83.59182911,H
S1092,Lawton Chiles,32,85.75987514,H
S1093,Abdul Qadeer Khan,20,53.26820034,H
S1094,Antonio McDyess,33,87.81324298,H
S1095,Willem Dafoe,37,81.11239252,H
S1096,Paul Tergat,36,91.64775673,H
S1097,Mookie Wilson,33,65.13984301,H
S1098,Jonathan Larson,20,81.39186055,H
S1099,Tito Puente,25,70.98313244,H
S1100,Stanley A McChrystal,30,83.15563963,H
S1101,Mikhail S Gorbachev,25,65.88329092,H
S1102,Stephen Frears,31,74.25943211,H
S1103,Allen Iverson,25,77.22779041,H
S1104,Tina Fey,20,61.29269229,H
S1105,Alvin F Poussaint,33,67.95564991,H
S1106,Tsuyoshi Shinjo,27,76.07889418,H
S1107,John Herbers,35,54.277983,H
S1108,Fox Butterfield,32,51.02140812,H
S1109,Philip Johnson,18,82.02310307,H
S1110,Iftikhar Muhammad Chaudhry,33,75.10560974,H
S1111,Nicholas A Spano,27,65.67121049,H
S1112,Denny Neagle,32,72.68572315,H
S1113,Keith van Horn,22,75.52318345,H
S1114,Bruce Springsteen,33,76.34636845,H
S1115,Claude Monet,35,73.52426392,H
S1116,Milan Kundera,33,84.2689006,H
S1117,Virgo Roh Moo Hyun,35,65.24563515,H
S1118,Mohandas K Gandhi,19,77.71790764,H
S1119,Theodore B Olson,23,84.71243352,H
S1120,Donald J Trump,30,57.27244583,H
S1121,Raymond Carver,28,84.84298392,H
S1122,August Strindberg,32,86.97304058,H
S1123,Miles Davis,19,76.20931047,H
S1124,Norma Holloway Johnson,37,57.82625084,H
S1125,Muntader al- Zaidi,35,86.95207959,H
S1126,Phil Spector,25,75.15530334,H
S1127,Michael P Forbes,37,64.04490494,H
S1128,Joe Lockhart,32,64.71681747,H
S1129,Nicholas Hytner,29,60.98067357,H
S1130,Vanessa Redgrave,25,71.39711264,H
S1131,Steven Spielberg,33,92.46762912,H
S1132,John Milton,31,92.87018724,H
S1133,Jan-Michael Gambill,35,86.47952609,H
S1134,Rubin Carter,23,86.95320198,H
S1135,Bob Ney,34,61.04938746,H
S1136,Marilyn Hall Patel,25,88.99522929,H
S1137,Alan Garcia,22,97.54301593,H
S1138,Trent Lott,34,62.80491974,H
S1139,Mira Nair,36,81.22389152,H
S1140,Jack Kerouac,30,73.07336075,H
S1141,William H Webster,37,82.49351173,H
S1142,Richard J Codey,19,66.14453192,H
S1143,Bernard B Kerik,23,61.01402204,H
S1144,John C Yoo,27,50.76623031,H
S1145,Ann Hampton Callaway,31,50.58349692,H
S1146,Gilda Radner,29,60.99904053,H
S1147,Liv Ullmann,28,78.99913739,H
S1148,Nolan Richardson,18,79.3408481,H
S1149,Atal Bihari Vajpayee,18,89.28323902,H
S1150,Dick Pound,35,87.90317653,H
S1151,Richard Bernstein,36,60.43876343,H
S1152,Candace Parker,31,75.05521704,H
S1153,Susan Molinari,36,95.00054293,H
S1154,Jose Maria Olazabal,35,51.22202736,H
S1155,Louis Farrakhan,29,50.40371545,H
S1156,Jane Alexander,32,75.39958908,H
S1157,John Edwards,23,85.18529934,H
S1158,Jamal Mashburn,28,93.56753428,H
S1159,Elian Gonzalez,18,79.30759914,H
S1160,Fernando Henrique Cardoso,36,70.24891621,H
S1161,Douglas R Forrester,32,70.01604831,H
S1162,James Chaney,30,69.20373167,H
S1163,Caleb Carr,34,74.82903475,H
S1164,David Nalbandian,19,69.78019128,H
S1165,Santana Moss,28,53.55982896,H
S1166,Angelina Jolie,22,97.25672063,H
S1167,Bill McKibben,29,91.16260556,H
S1168,Santiago Calatrava,23,79.14313735,H
S1169,Jamil Mahuad,32,95.72422295,H
S1170,Marv Albert,30,94.22720358,H
S1171,Sirio Maccioni,23,61.90247482,H
S1172,Scott M Stringer,34,78.12093407,H
S1173,John E Sprizzo,30,58.71049287,H
S1174,Toni Morrison,25,81.43192235,H
S1175,Scorpio Zhang Yimou,23,57.17240161,H
S1176,Patricia F Russo,28,93.43145131,H
S1177,Bebe Neuwirth,37,81.65410228,H
S1178,Taurus Wei Jingsheng,34,93.33262104,H
S1179,Michael Chabon,20,64.14883854,H
S1180,Kelly Clarkson,24,78.19024037,H
S1181,Angela Lansbury,28,56.55349533,H
S1182,Susan Jacoby,21,74.91513311,H
S1183,Robert Brustein,32,98.83632686,H
S1184,Alfred M Wolin,36,62.13088813,H
S1185,Tommy Lee Jones,33,92.41537758,H
S1186,Jon Stewart,32,58.18919487,H
S1187,Lawrence Phillips,30,74.56350633,H
S1188,Jeffrey L Bewkes,32,88.61649802,H
S1189,Michael A Newdow,21,73.90390408,H
S1190,Paul Goldberger,20,54.66268824,H
S1191,Giorgio Armani,33,85.09340703,H
S1192,Anna Kournikova,27,71.89423449,H
S1193,Bernd Pischetsrieder,34,68.20108841,H
S1194,Oliver Sacks,36,57.84460467,H
S1195,Mike Shanahan,21,50.93088302,H
S1196,Khalid Khannouchi,31,91.65398173,H
S1197,Arnold Palmer,36,68.41264372,H
S1198,Lillian Gish,29,72.23889415,H
S1199,Sagittarius Bhumibol Adulyadej,19,98.41198846,H
S1200,Shirin Ebadi,32,91.37280169,H
S1201,Carl C Icahn,21,82.12084648,H
S1202,Albert Brooks,24,63.03687712,H
S1203,Christiane Amanpour,24,70.79175132,H
S1204,Baz Luhrmann,23,98.58383492,H
S1205,James A III Baker,36,72.83086135,H
S1206,Howard Eisley,31,80.38556972,H
S1207,Allen Ginsberg,21,71.6966976,H
S1208,Ernesto Guevara,19,69.86769714,H
S1209,Phil Mickelson,28,65.29082217,H
S1210,Yulia V Tymoshenko,29,97.52638057,H
S1211,I M Pei,29,99.41694746,H
S1212,Lance Armstrong,29,91.02455132,H
S1213,Juan Antonio Samaranch,36,78.99861604,H
S1214,Nelson Mandela,24,61.46967339,H
S1215,Michael Caine,19,71.52849636,H
S1216,Twyla Tharp,29,86.76151129,H
S1217,Anatoly Karpov,31,70.16165819,H
S1218,Tab Ramos,22,94.6346157,H
S1219,Wadih El-Hage,31,70.53042594,H
S1220,Lee Harvey Oswald,18,64.29646023,H
S1221,Todd Bertuzzi,19,51.69656425,H
S1222,Harriet Beecher Stowe,31,75.5035725,H
S1223,Jamaica Kincaid,26,65.49122534,H
S1224,Stephanie Flanders,19,95.15844039,H
S1225,Blythe Danner,31,72.42282613,H
S1226,Ethan Hawke,28,67.7929198,H
S1227,Isadora Duncan,37,57.65255051,H
S1228,Drew Bledsoe,20,74.23564852,H
S1229,Richard W Riley,37,92.92218921,H
S1230,Richard Pryor,21,52.95057107,H
S1231,Stella McCartney,26,68.61678901,H
S1232,Leo Jiang Zemin,26,89.75495393,H
S1233,Jack Abramoff,24,54.9141327,H
S1234,Ron Wyden,24,76.2786681,H
S1235,Shigeki Maruyama,26,74.96156314,H
S1236,Hiram Monserrate,30,79.14496554,H
S1237,Karim Garcia,24,55.63570549,H
S1238,Milton Babbitt,18,69.42871378,H
S1239,Johnny Isakson,18,68.01378622,H
S1240,Athol Fugard,34,86.22824999,H
S1241,H Carl McCall,31,93.54908192,H
S1242,Grace Paley,18,63.81576967,H
S1243,Gloria Macapagal Arroyo,34,73.53061935,H
S1244,Tubby Smith,22,65.45745526,H
S1245,Jane Goodall,30,58.64545961,H
S1246,Parris N Glendening,29,50.93550433,H
S1247,Deborah E Lipstadt,35,62.84446135,H
S1248,Elliott Abrams,19,66.08864561,H
S1249,John Smoltz,18,54.33779232,H
S1250,Johnny Cash,24,60.00962583,H
S1251,Keith Haring,20,69.82881358,H
S1252,Anton Chekhov,32,59.71843998,H
S1253,James Woods,30,55.73973346,H
S1254,Rafik Hariri,20,65.07958925,H
S1255,Carlos Moya,28,61.00563247,H
S1256,Daw Aung San Suu Kyi,23,83.01509972,H
S1257,Boutros Boutros-Ghali,32,59.09626105,H
S1258,Howard Cross,30,87.3649241,H
S1259,Karl Lagerfeld,20,75.01383624,H
S1260,Clyde Drexler,25,97.95277166,H
S1261,Leif Ove Andsnes,20,50.36553134,H
S1262,Guillermo Mota,33,56.42458315,H
S1263,Bruce Cutler,19,76.93509512,H
S1264,Terrence McNally,32,68.65718361,H
S1265,Pete Seeger,29,92.6054456,H
S1266,Mira Sorvino,23,72.7502025,H
S1267,Stevie Wonder,28,61.60051625,H
S1268,Jeremy M Boorda,32,58.11976412,H
S1269,Joan Claybrook,29,68.17177397,H
S1270,Richard Brookhiser,29,93.56983597,H
S1271,Mark Rothko,22,67.24967851,H
S1272,L Jay Oliva,32,71.06740244,H
S1273,Robert Frost,26,67.20547568,H
S1274,Jonathan Safran Foer,34,86.01331608,H
S1275,Tennessee Williams,31,52.2490776,H
S1276,Adolf Eichmann,32,93.00750256,H
S1277,Louis Menand,27,76.52741702,H
S1278,Tilda Swinton,35,94.27161003,H
S1279,Bobby Bonilla,24,69.40113017,H
S1280,Cuauhtemoc Cardenas,18,69.93536122,H
S1281,Rory Sabbatini,21,82.56604319,H
S1282,Robert Zemeckis,30,88.12443346,H
S1283,Chevy Chase,20,64.60832317,H
S1284,John R Silber,35,83.72300323,H
S1285,Barack Obama,23,51.03739766,H
S1286,Eve Ensler,28,62.42510255,H
S1287,Jim Courier,35,74.54890643,H
S1288,John Wayne,19,65.90355355,H
S1289,Ben Stein,18,53.05475292,H
S1290,Benicio Del Toro,28,93.56813888,H
S1291,Fred Couples,37,98.90093381,H
S1292,Manny Ramirez,30,99.03480163,H
S1293,Isabel Allende,27,67.54539755,H
S1294,Mark Sanchez,22,69.41279456,H
S1295,Justina Morales,22,55.36366144,H
S1296,Diane Ravitch,18,57.96355981,H
S1297,John D Podesta,23,79.23945347,H
S1298,Jeb Bush,36,56.49703479,H
S1299,Philip Glass,18,97.88377685,H
S1300,James T McHugh,25,57.49764355,H
S1301,Bobby Fischer,33,92.90368445,H
S1302,Rodney Hampton,20,60.91362889,H
S1303,Trip Gabriel,22,94.07311121,H
S1304,Langston Hughes,29,63.37601081,H
S1305,Joe Paterno,24,83.49898013,H
S1306,Joan Baez,23,72.60106188,H
S1307,Mikhail Baryshnikov,32,52.38297164,H
S1308,David Rabe,19,72.84795491,H
S1309,Nydia M Velazquez,21,81.89134845,H
S1310,Steven Pinker,31,75.05503217,H
S1311,Indira Gandhi,31,73.34048549,H
S1312,Bobby Flay,30,67.23998887,H
S1313,Ian Wilmut,26,74.92723432,H
S1314,Donovan Bailey,37,73.45520479,H
S1315,Marty McSorley,25,83.91100539,H
S1316,Mitchell E Jr Daniels,21,91.39745627,H
S1317,Vivienne Westwood,21,70.30001699,H
S1318,Jeff Bingaman,37,52.10637669,H
S1319,Eugene A Ludwig,31,58.28825794,H
S1320,Baltasar Garzon,21,85.71018238,H
S1321,Richard Dooling,32,75.47467624,H
S1322,Mir Hussein Moussavi,23,94.85895759,H
S1323,Anna Politkovskaya,35,54.99741701,H
S1324,Uta Hagen,28,63.08598877,H
S1325,Mike Ditka,32,62.31091602,H
S1326,Sidney Lumet,26,53.90118583,H
S1327,Carl Levin,32,90.72395096,H
S1328,Rick Santorum,29,63.74316207,H
S1329,Richard Blumenthal,27,76.46506935,H
S1330,Tom Stoppard,34,86.21404886,H
S1331,Eric Rohmer,22,66.07919833,H
S1332,Gene Kelly,36,78.9225762,H
S1333,Jacques A Nasser,29,98.30965229,H
S1334,Ric Burns,26,98.57046987,H
S1335,Walter Cronkite,26,70.34647241,H
S1336,Mary Cassatt,20,62.80556309,H
S1337,Gene Budig,35,69.64768308,H
S1338,Bob Woodward,21,55.49612374,H
S1339,Anne Frank,30,91.93690668,H
S1340,Ahmed Qurei,33,56.88798731,H
S1341,Samuel Waksal,29,87.36589677,H
S1342,Ilan Ramon,26,97.78405801,H
S1343,Michael Connelly,36,68.62847985,H
S1344,Mike Hampton,31,85.87954191,H
S1345,Andrew S Grove,26,63.25428802,H
S1346,Sugar Ray Leonard,26,73.66799803,H
S1347,Aries Wiranto,26,78.27956442,H
S1348,Chris Gatling,34,72.20987568,H
S1349,Gennifer Flowers,24,73.14238021,H
S1350,Sylvia Plath,34,55.18130162,H
S1351,Don Larsen,35,88.48180847,H
S1352,Iva Majoli,26,90.59483725,H
S1353,Mel Brooks,18,56.45783039,H
S1354,Jay Haas,36,57.08905053,H
S1355,Albio Sires,33,76.65565749,H
S1356,Lawrence Lessig,31,80.49281611,H
S1357,Charlie Trotter,32,59.67311877,H
S1358,Samuel Ramey,34,58.84520605,H
S1359,Stewart Cink,25,73.11537371,H
S1360,Bill Janklow,33,90.21688762,H
S1361,John Corigliano,31,96.4626557,H
S1362,Glen Sather,32,92.00241466,H
S1363,Warren M Christopher,22,97.89416134,H
S1364,Shane Spencer,28,92.78047149,H
S1365,Jim Calhoun,32,65.84811354,H
S1366,Harvey Fierstein,28,91.56248162,H
S1367,Mika Hakkinen,36,65.60689231,H
S1368,Sumner M Redstone,33,51.10390213,H
S1369,Mark Fuhrman,34,95.24425302,H
S1370,Susan Sarandon,36,77.03839163,H
S1371,Robert S Bennett,36,59.17399403,H
S1372,Ann Powers,29,63.81549924,H
S1373,Larry King,19,71.69035594,H
S1374,David N Dinkins,28,89.57013636,H
S1375,Richard Greenberg,18,94.25136061,H
S1376,Frank Stella,23,92.05529021,H
S1377,Cancer Dalai Lama,25,96.99995467,H
S1378,Alistair Cooke,30,92.49526898,H
S1379,Jurgen E Schrempp,21,90.14283912,H
S1380,Samuel Langhorne Clemens,29,52.43016573,H
S1381,Harold Prince,19,84.31303823,H
S1382,Kevin Costner,23,92.5117938,H
S1383,Jimmy Key,25,65.28181503,H
S1384,C Virginia Fields,18,64.88430819,H
S1385,Sonny Rollins,20,66.75406683,H
S1386,Osama Bin Laden,34,64.72991619,H
S1387,Roy Lichtenstein,24,80.38445162,H
S1388,Herbert Muschamp,19,80.71831459,H
S1389,Ronald Radosh,22,99.38940519,H
S1390,Frank Sinatra,28,95.68235407,H
S1391,Vincent Jr Cianci,37,79.74931677,H
S1392,Donald Fehr,28,99.34450784,H
S1393,Mel Carnahan,33,66.15058914,H
S1394,Geoffrey Wheatcroft,26,80.23883702,H
S1395,Conor McPherson,30,55.71102828,H
S1396,Anthony Trollope,25,76.88494201,H
S1397,Amr Moussa,31,89.26640894,H
S1398,Stephen L Carter,18,57.6737492,H
S1399,Humphrey Bogart,34,71.12126972,H
S1400,Bill Richardson,27,51.35815458,H
S1401,Mark Penn,26,95.10528503,H
S1402,Mitsuko Uchida,28,63.49318808,H
S1403,Libra Caravaggio,22,54.22467118,H
S1404,Jonathan Pryce,22,67.59403608,H
S1405,Frederick Chiluba,35,94.54018162,H
S1406,Matthew Shepard,24,92.7996436,H
S1407,James A Jr Traficant,34,77.52777903,H
S1408,Leon Wieseltier,35,97.14073371,H
S1409,Katrina Leung,32,56.34271538,H
S1410,David Duchovny,34,67.60479961,H
S1411,Mitt Romney,24,80.37571249,H
S1412,Guy Ritchie,20,63.69679079,H
S1413,Ernesto Perez Balladares,18,92.09189377,H
S1414,Ray Bourque,23,55.18243385,H
S1415,Edward R Korman,23,82.9603921,H
S1416,Peter Boal,20,75.61447241,H
S1417,Isabelle Huppert,23,52.81333733,H
S1418,William F Weld,22,68.27591415,H
S1419,Joseph V Jr Doria,35,56.16481964,H
S1420,Abdelbaset Ali Mohmed al- Megrahi,34,88.50419558,H
S1421,Carlos Saul Menem,18,81.64617113,H
S1422,Andrew S Fastow,35,79.543221,H
S1423,Patrick Ewing,27,92.66425334,H
S1424,Virgo Moby,19,62.96166187,H
S1425,Graham Greene,19,88.72395835,H
S1426,Mary Ellen Clark,34,70.83642255,H
S1427,Beverly Sills,36,58.55544999,H
S1428,Alan Jay Lerner,27,79.64263861,H
S1429,Patrick J Buchanan,29,51.2642545,H
S1430,Albert C Barnes,20,66.32720137,H
S1431,Phil Gramm,29,74.22321552,H
S1432,James Naughton,29,62.35372597,H
S1433,Omar Minaya,30,61.23693331,H
S1434,Marcel Duchamp,19,88.58099291,H
S1435,Tom Harkin,27,82.45546848,H
S1436,Ernest F Hollings,37,70.56369192,H
S1437,Tom Seaver,34,68.88340144,H
S1438,Dave Barry,37,56.86002228,H
S1439,David M Brown,29,94.94112822,H
S1440,Jon Robin Baitz,29,55.3736757,H
S1441,Steven Seagal,24,85.80124756,H
S1442,Maria Sharapova,19,58.17807412,H
S1443,Valerie Plame,29,52.8073075,H
S1444,Mary J Blige,37,54.08034174,H
S1445,David Baltimore,35,60.09220775,H
S1446,F Scott Fitzgerald,33,52.49058719,H
S1447,William H Macy,31,57.52920671,H
S1448,Shashi Tharoor,35,88.97081791,H
S1449,Chien-Ming Wang,35,64.96988284,H
S1450,Robert De Niro,20,75.44117071,H
S1451,Ozzie Smith,30,58.04294888,H
S1452,Clive Davis,26,55.60606624,H
S1453,Capricorn Aaliyah,30,92.47223478,H
S1454,Michael Chang,37,87.86877809,H
S1455,Gary L Ackerman,28,88.28326305,H
S1456,Miguel Estrada,36,88.10991526,H
S1457,Pierre-Laurent Aimard,24,78.74785769,H
S1458,Betty Friedan,27,53.64389224,H
S1459,Robert L Nardelli,23,58.56041318,H
S1460,Nadine Lockwood,23,81.10294614,H
S1461,Ahmad Chalabi,30,54.97412736,H
S1462,Vincent W Jr Foster,27,55.32399291,H
S1463,Brent Scowcroft,24,56.92655703,H
S1464,Alger Hiss,18,94.80172323,H
S1465,C Vivian Stringer,35,93.51394711,H
S1466,Tyson Gay,35,60.43152445,H
S1467,Vijay Singh,23,83.43113654,H
S1468,Wolfgang Puck,36,91.15042875,H
S1469,Gerard Schwarz,32,96.87757787,H
S1470,John J Rigas,31,52.95698035,H
S1471,Charles L Mee,18,83.32298227,H
S1472,Thomas L Friedman,31,53.70062458,H
S1473,Sam Brownback,25,82.19303082,H
S1474,Elizabeth Taylor,24,72.02775723,H
S1475,Frank McCourt,19,92.78225098,H
S1476,Bill Guerin,34,87.09042003,H
S1477,Mickey Kantor,35,76.62105746,H
S1478,Patricia Ireland,29,74.37724091,H
S1479,James A Kelly,26,58.24174353,H
S1480,A O Scott,20,60.64632776,H
S1481,Sagittarius Kim Young Sam,36,50.98094162,H
S1482,Jim Hodges,30,77.24733759,H
S1483,William J Jr Pascrell,34,91.97008018,H
S1484,Michael O Leavitt,34,64.40271508,H
S1485,Diane Johnson,32,92.44230663,H
S1486,Laurent Kabila,29,78.64015236,H
S1487,Cruz Bustamante,37,71.29257423,H
S1488,James L Barksdale,21,64.31240013,H
S1489,Edwidge Danticat,27,97.85386044,H
S1490,Mercedes Ruehl,30,67.88994749,H
S1491,Don DeLillo,26,69.35891892,H
S1492,Jim Kolbe,34,88.90410501,H
S1493,Elizabeth Swados,32,65.30308771,H
S1494,Phil Simms,36,86.0244556,H
S1495,Neil Diamond,37,84.91345385,H
S1496,Shirley M Tilghman,31,96.89695733,H
S1497,Daniel Libeskind,32,98.26283545,H
S1498,Baitullah Mehsud,28,78.85136152,H
S1499,Tadao Ando,28,65.28496727,H
S1500,Jean-Yves Thibaudet,26,99.63795064,H
S1501,Leonie M Brinkema,20,83.30683954,H
S1502,Tom Ridge,28,58.06338493,H
S1503,Stephen S Roach,36,68.34886459,H
S1504,Bernadette Peters,36,66.17220251,H
S1505,Campbell Scott,23,95.23599513,H
S1506,Mark Philippoussis,21,58.76846566,H
S1507,Itamar Franco,34,55.62497499,H
S1508,Nora Ephron,22,62.74996181,H
S1509,Christine Lahti,22,75.73651773,H
S1510,Jose Carreras,22,63.44616627,H
S1511,Richard Branson,35,94.35611952,H
S1512,Albert Shanker,20,75.11403274,H
S1513,Margaret Cho,22,99.36444317,H
S1514,Kathleen Sebelius,32,87.15892311,H
S1515,Lachlan Murdoch,18,60.28858318,H
S1516,Anwar Ibrahim,26,93.28303267,H
S1517,Meir Kahane,23,59.56682492,H
S1518,A N Wilson,25,82.81316269,H
S1519,Connie Chung,34,64.04682091,H
S1520,Benjamin Netanyahu,25,50.75768074,H
S1521,Cormac McCarthy,35,87.6542254,H
S1522,Peter G Peterson,35,78.00607234,H
S1523,Herbert J Gans,32,64.32778874,H
S1524,Cy Coleman,32,54.66908988,H
S1525,David Ives,32,61.03695093,H
S1526,Ozzy Osbourne,22,87.35516369,H
S1527,William H Donaldson,18,96.13065235,H
S1528,Pat Roberts,33,59.98911658,H
S1529,Lucinda Williams,26,70.81404819,H
S1530,L Dennis Kozlowski,21,78.27589914,H
S1531,Susan Webber Wright,33,94.51373987,H
S1532,Judith Steinberg Dean,26,66.53861813,H
S1533,Robert E Allen,19,81.60575689,H
S1534,John Mortimer,22,94.04007501,H
S1535,David Irving,30,58.49251451,H
S1536,Alexandra Stevenson,27,64.5977456,H
S1537,Chris Matthews,20,64.80724095,H
S1538,Cherie Blair,27,74.66737232,H
S1539,Andrew Johnson,23,65.57238329,H
S1540,Yasir Arafat,24,91.16321902,H
S1541,Joaquin Balaguer,29,75.7003392,H
S1542,Ossie Davis,31,81.78879032,H
S1543,Tommy Maddox,26,68.48411656,H
S1544,Gary Winnick,32,54.07115364,H
S1545,Penelope Cruz,27,87.91412128,H
S1546,Daniel Radcliffe,19,89.65461599,H
S1547,Adrian Lyne,23,59.80812552,H
S1548,Costas Simitis,25,72.01958262,H
S1549,Margo Jefferson,32,84.62245298,H
S1550,Ann M Veneman,25,71.0139571,H
S1551,Chanda Rubin,30,97.76002846,H
S1552,Aaron Boone,34,81.74962639,H
S1553,Howard Golden,24,59.80936915,H
S1554,Julie Salamon,21,84.41706384,H
S1555,Andre Previn,20,61.31115867,H
S1556,Edward Durell Stone,33,62.43428267,H
S1557,James Taylor,33,68.20901853,H
S1558,William Manchester,21,52.87036025,H
S1559,Betty Comden,35,72.64960002,H
S1560,Robert D Kaplan,33,67.57370923,H
S1561,Alicia Keys,22,82.80593112,H
S1562,Ricky Martin,22,63.79912717,H
S1563,Regis Philbin,37,87.84675341,H
S1564,Lech Walesa,36,79.37629631,H
S1565,Leo Napoleon I,25,91.8932797,H
S1566,Marvin Davis,23,79.37212187,H
S1567,Jean Stapleton,18,96.57989156,H
S1568,Dick Vermeil,29,98.12568224,H
S1569,Carolyn McCarthy,32,76.54750656,H
S1570,Frida Kahlo,28,59.67060996,H
S1571,Ralph Branca,31,97.03055371,H
S1572,Jeffrey Katzenberg,24,58.53948057,H
S1573,Mohammed Zahir Shah,27,76.08253873,H
S1574,Paul Azinger,23,88.23609396,H
S1575,Lena Horne,27,77.33831664,H
S1576,Laurence A Tisch,34,86.15669104,H
S1577,Lasse Hallstrom,37,53.42021296,H
S1578,Javier Solana,28,74.99609829,H
S1579,Edwin W Edwards,31,68.65123587,H
S1580,Spencer Abraham,23,53.43962161,H
S1581,Peter Ackroyd,21,64.48824945,H
S1582,Jude Law,27,55.15116295,H
S1583,Brad Leithauser,37,54.28745383,H
S1584,Marty Markowitz,18,95.07342211,H
S1585,Vartan Gregorian,19,82.1633347,H
S1586,Jack Curry,35,97.15860941,H
S1587,Hugh Jackman,23,85.58797217,H
S1588,Kent Nagano,25,74.79750658,H
S1589,Lawrence van Gelder,30,50.2761342,H
S1590,Mary Matalin,36,80.83669778,H
S1591,Catherine Zeta-Jones,22,57.37148319,H
S1592,Tony Coelho,31,86.22332987,H
S1593,Katha Pollitt,19,52.40398914,H
S1594,Marc Rich,36,55.45178416,H
S1595,Herb Brooks,21,93.30515829,H
S1596,Gabriela Sabatini,23,74.51010378,H
S1597,C Ray Nagin,25,71.72867966,H
S1598,Michael Wines,24,76.04989777,H
S1599,Robert D McFadden,23,56.38772682,H
S1600,Barbara Jordan,25,75.96914035,H
S1601,Antonio Banderas,28,54.23771115,H
S1602,Audra McDonald,34,81.07429869,H
S1603,Ian Buruma,29,50.37796473,H
S1604,Ann Reinking,20,59.65841635,H
S1605,Marylou Whitney,29,79.8185629,H
S1606,Carlton Fisk,23,69.33050305,H
